tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
66.0,6.30728551085217e-08,1.1841984634690803e-06,6.47243300003125e-09,2.289121221999715e-06,,,,
67.0,7.451575190746224e-08,1.614088292339952e-06,2.8592186328263217e-08,2.960690735663625e-06,,,,
68.0,9.184556104149029e-08,1.8274796460342076e-06,6.037991789005651e-08,3.025426990768978e-06,,,,
69.0,1.0967456588777931e-07,1.960142368608394e-06,8.989617138024945e-08,3.7200554355819578e-06,,,,
70.0,1.2847430511141444e-07,1.8726225317251336e-06,1.2557524918930592e-07,3.1793900160517014e-06,1.2847430511141444e-07,1.8726225317251336e-06,1.2557524918930592e-07,3.1793900160517014e-06
71.0,1.478139923066459e-07,1.1106762736320566e-06,1.5841070179140422e-07,1.8709778452371141e-06,,,,
72.0,1.585439969575279e-07,-8.246616507170138e-05,1.7648581643794433e-07,-0.07710584094951342,,,,
73.0,-6.382446657168722e-07,0.00011627461534274213,-0.0007448206877653634,0.11446141749980916,,,,
74.0,5.445980373779082e-07,0.0001206906216812545,0.00041957664931845703,0.00031769194552088613,,,,
75.0,1.8225196917591368e-06,4.684725186678119e-05,0.0004229405015461459,0.00023884459293415554,1.8225196917591368e-06,4.684725186678119e-05,0.0004229405015461459,0.00023884459293415554
76.0,2.25477628801193e-06,7.017088474472974e-06,0.00042514430532675376,0.000214783961805345,,,,
77.0,2.3296935872127802e-06,5.261177897779621e-06,0.00042743742652490477,0.0002845619670287749,,,,
78.0,2.3802232444384015e-06,6.946900668042434e-06,0.00043017043022346456,0.00035489192388018625,,,,
79.0,2.448686277313941e-06,4.9247425270122365e-06,0.00043366795791428716,0.00042002164279910195,,,,
80.0,2.503068012840416e-06,-2.0102115904478565e-07,0.0004383060696061798,0.000486204288293923,2.503068012840416e-06,-2.0102115904478565e-07,0.0004383060696061798,0.000486204288293923
81.0,2.501167088017327e-06,5.8052790112647955e-06,0.0004429037836234609,0.0005667344420296569,,,,
82.0,2.557154963238214e-06,6.660884542500939e-06,0.00044836954283368404,0.00063871133033578,,,,
83.0,2.6217155067716576e-06,-8.473519131340676e-07,0.000454560244741867,0.0006931049668347898,,,,
84.0,2.6126400856067553e-06,-5.0905569401134466e-08,0.0004619836297463876,0.0007746106271176818,,,,
85.0,2.612150883644415e-06,5.57227122930335e-06,0.00046942762935769667,0.0008592440992883337,2.612150883644415e-06,5.57227122930335e-06,0.00046942762935769667,0.0008592440992883337
86.0,2.6695701631049115e-06,5.558792714019728e-06,0.0004782816809699667,0.0009392520323894441,,,,
87.0,2.7230256150458968e-06,3.698597820798257e-06,0.0004873138835471986,0.0010100955125881585,,,,
88.0,2.761970896269436e-06,3.7148342440060585e-06,0.000497949928801746,0.0010951799117314331,,,,
89.0,2.7979248749784926e-06,5.060070624208978e-06,0.0005085496144519234,0.0011767283654059639,,,,
90.0,2.8468779060508625e-06,4.359609998247789e-06,0.0005199337283336269,0.0012569385581354222,2.8468779060508625e-06,4.359609998247789e-06,0.0005199337283336269,0.0012569385581354222
91.0,2.891729181353832e-06,2.8398795211868083e-07,0.0005328649990969538,0.0013361000212507108,,,,
92.0,2.894447952780878e-06,1.9965566001769314e-06,0.0005456562127183481,0.0014237707239565882,,,,
93.0,2.91561027068039e-06,4.097957450250625e-06,0.0005607473394480973,0.0015245592369267254,,,,
94.0,2.962843455100045e-06,-0.0007529741419374197,0.0005783194564040811,0.0003863427243230322,,,,
95.0,-3.4963472116920506e-06,-0.0012305764773245305,0.0005816335958680333,-0.00031920539951585874,-3.4963472116920506e-06,-0.0012305764773245305,0.0005816335958680333,-0.00031920539951585874
96.0,-1.527010179920449e-05,-0.0018920916794736304,0.0005785795426611334,-0.0013207795928242318,,,,
97.0,-3.364043314151394e-05,-0.0025640993294607155,0.0005657560843617494,-0.002333033430356298,,,,
98.0,-6.043622499662164e-05,-0.003288225841761066,0.0005413750171103556,-0.00343329050147932,,,,
99.0,-9.259868762403774e-05,-0.003967287895141464,0.0005077936626788874,-0.0044690977553241895,,,,
100.0,-0.00013164843256639036,-0.004652258212091707,0.00046380463741012073,-0.005522593794860762,-0.00013164843256639036,-0.004652258212091707,0.00046380463741012073,-0.005522593794860762
101.0,-0.00018010679620126835,-0.005379474958511156,0.000406280775638321,-0.006649283025594239,,,,
102.0,-0.00023191975283773174,-0.0060542885399453876,0.0003422375342949248,-0.007705094165037328,,,,
103.0,-0.0002958404890277158,-0.006797257139108684,0.00026088771289265985,-0.00888312394898058,,,,
104.0,-0.0003622546472478683,-0.007488170703364411,0.0001740931151066794,-0.009990065315775334,,,,
105.0,-0.00043637634979826195,-0.008191794325797426,7.520639375266327e-05,-0.011136046334049451,-0.00043637634979826195,-0.008191794325797426,7.520639375266327e-05,-0.011136046334049451
106.0,-0.0005210546408120861,-0.00893122989126757,-3.990652714287874e-05,-0.0123575027223508,,,,
107.0,-0.0006065742126887957,-0.00962052757713371,-0.00015823382978167875,-0.01351479472508151,,,,
108.0,-0.000709171261186095,-0.01039409438422225,-0.00030236085802656223,-0.014839340126245928,,,,
109.0,-0.0008085896929620324,-0.011093205500974663,-0.00044429760300942046,-0.016055514136990405,,,,
110.0,-0.0009175595491235953,-0.011165237028353469,-0.0006020127977702193,-0.01627085515958107,-0.0009175595491235953,-0.011165237028353469,-0.0006020127977702193,-0.01627085515958107
111.0,-0.0010328098503045923,-0.011247684797070884,-0.0007699645351898625,-0.01653336441476458,,,,
112.0,-0.0011402865733922986,-0.01132978568534868,-0.0009279483212732476,-0.01681104636896627,,,,
113.0,-0.0012509415194295952,-0.011419833715055982,-0.0010921372548021529,-0.01713187600015899,,,,
114.0,-0.0013726761016373552,-0.011525661881449377,-0.0012747617850144373,-0.017523943553162075,,,,
115.0,-0.0014858453657040748,-0.011629628265494378,-0.0014468275471248124,-0.017923252684068528,-0.0014858453657040748,-0.011629628265494378,-0.0014468275471248124,-0.017923252684068528
116.0,-0.0016053654628320267,-0.011745671687321066,-0.001631028525242459,-0.018385354424025512,,,,
117.0,-0.001718429827145602,-0.0118609839573008,-0.0018080067744196532,-0.018854246242500414,,,,
118.0,-0.0018311488028459335,-0.011981316012242452,-0.0019871851066480114,-0.019357153735700044,,,,
119.0,-0.0019592991855585567,-0.012125305387816147,-0.002194226357953156,-0.019971547895249308,,,,
120.0,-0.0020769389825444485,-0.012263165081942452,-0.0023879904541755847,-0.020570385162993095,-0.0020769389825444485,-0.012263165081942452,-0.0023879904541755847,-0.020570385162993095
121.0,-0.0022031013212392,-0.012417639936258648,-0.002599616725425613,-0.021256814177687655,,,,
122.0,-0.0023217202438773,-0.012568614782997213,-0.002802671445116197,-0.0219350383829592,,,,
123.0,-0.0024547890694667568,-0.012745327473853355,-0.003034906249609424,-0.022744258251148685,,,,
124.0,-0.0025766871405061335,-0.012913034476708298,-0.0032524354746312294,-0.023519615143548514,,,,
125.0,-0.0027028564228649145,-0.013092907828038673,-0.0034822383896136633,-0.024364986063636913,-0.0027028564228649145,-0.013092907828038673,-0.0034822383896136633,-0.024364986063636913
126.0,-0.0029042787506700237,0.001038746069751008,-0.00385707125900628,-0.002089744188913838,,,,
127.0,-0.0028891427858897694,0.013004864530925402,-0.0038875217178472197,0.016672051630971553,,,,
128.0,-0.002750884689842969,0.021742378185226154,-0.003710276802284223,0.030394614779786788,,,,
129.0,-0.002541627019952538,0.02966329860017975,-0.0034177464170682564,0.042882387800534334,,,,
130.0,-0.0022555528325486104,0.03761589048013171,-0.0030041867381759156,0.05549037471348581,-0.0022555528325486104,0.03761589048013171,-0.0030041867381759156,0.05549037471348581
131.0,-0.0018661851097844487,0.046174470963020596,-0.0024297975488801814,0.06915530266711152,,,,
132.0,-0.0013794668033854612,0.054919510215777866,-0.0017008416758480408,0.083242464267771,,,,
133.0,-0.0008537707105318635,0.06289023350497679,-0.0009040348934652562,0.0962050952435391,,,,
134.0,-0.00024578592101274675,0.0709749269720736,2.6017855944253116e-05,0.10949802486000397,,,,
135.0,0.0005033873626664903,0.07984932948774016,0.001181820310986402,0.12428790333104746,0.0005033873626664903,0.07984932948774016,0.001181820310986402,0.12428790333104746
136.0,0.0012474522358431458,0.08772519417781777,0.002339979855001197,0.1375862565803338,,,,
137.0,0.00217024830060471,0.0966744886001579,0.00378727281716042,0.15293717025567355,,,,
138.0,0.003103669879043429,0.1049437362232324,0.00526392769197885,0.16735104965509812,,,,
139.0,0.004224663337689635,0.11416542454282459,0.007051546836411509,0.1837209776641264,,,,
140.0,0.005332123676051464,0.12260629801795545,0.008833729987771474,0.19897757841756272,0.005332123676051464,0.12260629801795545,0.008833729987771474,0.19897757841756272
141.0,0.006596792077745186,0.13166286925459866,0.010886158453015356,0.21567103296918466,,,,
142.0,0.007869758333975033,0.14022903176745322,0.01297134730671655,0.23177236512495955,,,,
143.0,0.0092546507175232,0.14906547446500765,0.015260315426462208,0.2487224638262876,,,,
144.0,0.010719261340336224,0.15794826494362474,0.017704084273404173,0.2661240878200222,,,,
145.0,0.01239438182388374,0.16765046962595884,0.020526463555834592,0.2855750056456615,0.01239438182388374,0.16765046962595884,0.020526463555834592,0.2855750056456615
146.0,0.013965038547577776,0.17631643088444673,0.023201912683636312,0.3033176618916148,,,,
147.0,0.01582516400423872,0.18620316046918678,0.02640189184331677,0.32404763452911195,,,,
148.0,0.01762664643394688,0.1953845088534194,0.029536995020522455,0.34373710491929416,,,,
149.0,0.019498956197306672,0.20459748703606723,0.03283092216626281,0.363937499225848,,,,
150.0,0.021685807896786646,0.21503005160591412,0.03672088851050357,0.38739474127793194,0.021685807896786646,0.21503005160591412,0.03672088851050357,0.38739474127793194
151.0,0.023688787025583538,0.22424760796405865,0.04032942404119043,0.408583206485127,,,,
152.0,0.0260682786036932,0.23491951320054277,0.04466490082783345,0.43373550097332386,,,,
153.0,0.028324730116995323,0.24472819687808178,0.04883102187163378,0.457391656540862,,,,
154.0,0.030939995485248666,0.25583410879740465,0.05371889574288723,0.4848581808481747,,,,
155.0,0.03340780635109452,0.2660241780918905,0.05839590418681962,0.5106463118734265,0.03340780635109452,0.2660241780918905,0.05839590418681962,0.5106463118734265
156.0,0.036137042820145564,0.2770582263670103,0.06363480595562788,0.5392498002276522,,,,
157.0,0.03879373587122548,0.2875503322456667,0.06880563670787306,0.5670710878796049,,,,
158.0,0.0415868631986023,0.29837091568163704,0.07431389586985042,0.5964184353082643,,,,
159.0,0.044758419224979945,0.31045187503682814,0.08065357035998393,0.6299984414424904,,,,
160.0,0.047753828131196906,0.32162360636310794,0.08673213871192503,0.6617478945223861,0.047753828131196906,0.32162360636310794,0.08673213871192503,0.6617478945223861
161.0,0.0510843663162662,0.33386102481600766,0.09358479687504431,0.6973498333847408,,,,
162.0,0.054324817724981087,0.3455556911582153,0.10035326663339367,0.7321285835871203,,,,
163.0,0.05765261130894795,0.35738877942340996,0.10740386040290695,0.7680813425783474,,,,
164.0,0.06142500928241662,0.3706441273516177,0.11551130156229736,0.8093013250775244,,,,
165.0,0.06499178259052378,0.3829720732179257,0.1232993498584568,0.8484569518684667,0.06499178259052378,0.3829720732179257,0.1232993498584568,0.8484569518684667
166.0,0.0689466796600929,0.3964919011097849,0.13206124177502665,0.8923632626096265,,,,
167.0,0.07277110376940155,0.40937756394477254,0.14066866998789354,0.9350930594748507,,,,
168.0,0.07710460845033801,0.42383950430522077,0.1505671854592791,0.9841340319297767,,,,
169.0,0.08113393613749344,0.4370868653005947,0.15992308188339094,1.0299824098282675,,,,
170.0,0.08571847600491696,0.4520288617606824,0.17072641594687332,1.082840107143942,0.08571847600491696,0.4520288617606824,0.17072641594687332,1.082840107143942
171.0,0.08987135377009933,0.46536277952392585,0.18067468028267267,1.130949886178912,,,,
172.0,0.09482433081358697,0.4811527111804646,0.192711673935903,1.1891885682754335,,,,
173.0,0.09944651040532267,0.4956731671320058,0.204135579492878,1.2438658540813678,,,,
174.0,0.10465799083095577,0.5118946625177604,0.21721351669122566,1.3063100893775825,,,,
175.0,0.10955570831140934,0.5269136719138153,0.22971206029425742,1.3653553496148036,0.10955570831140934,0.5269136719138153,0.22971206029425742,1.3653553496148036
176.0,0.1149809790262633,0.5433769278021888,0.24377019313171008,1.4315315275602898,,,,
177.0,0.1202014467605852,0.5589786228402377,0.257523563523273,1.4956303905563526,,,,
178.0,0.12613698251603725,0.5765133112062794,0.2734049716797799,1.5694027768322887,,,,
179.0,0.13185312579014022,0.5931025157126701,0.28896563776115436,1.6408882567336165,,,,
