tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
126.0,0.010383902001194656,-4.414329997307077e-05,9.468252595568241e-09,-8.840378529580278e-08,-1.2481729214688136e-06,-4.1498781272587934e-08
127.0,0.01050938107073307,2.9455023451636197e-05,-3.6492722783177028e-09,5.134356664903208e-07,1.5524409008431814e-06,-4.24278503403568e-08
128.0,0.00920722505543381,-2.8372774499606178e-05,1.0644400481005871e-08,7.659181044014293e-10,-8.145312547431475e-08,-3.770053260749376e-08
129.0,0.010224776924587786,-1.0374530665929426e-06,9.811560443220544e-09,-2.102503965553922e-08,-1.199718099528928e-06,-3.7692701265733756e-08
130.0,0.010390551062300801,3.067080653803975e-05,-2.654171730301259e-09,5.995330440444667e-07,1.5794866246329338e-06,-3.791116301386154e-08
131.0,0.010459512006491423,-2.5894795154121278e-05,1.3866487584139523e-08,6.675294412032881e-08,7.269723087773566e-08,-3.1640339941390085e-08
132.0,0.009523699060082436,-3.1461767830453313e-06,1.455883413352041e-08,8.712883500313838e-09,-9.096893703836065e-08,-3.1004604990213575e-08
133.0,0.010529048042371869,-5.533900544201743e-07,1.360101782508001e-08,-3.4281868244762724e-09,-8.112105560137295e-07,-3.0912866621251184e-08
134.0,0.01095179794356227,1.9992522006405354e-05,4.716803725932842e-09,4.219533460420668e-07,1.262123872290309e-06,-3.095041143066563e-08
135.0,0.009392905980348587,1.9992522006405354e-05,1.6571814593909203e-08,5.821464411908917e-07,1.1793931544707297e-06,-2.6987043323199003e-08
136.0,0.010480660013854504,-1.6584853908148037e-05,2.8932633268584308e-08,2.1035248009169613e-07,-1.0123820229632734e-06,-2.088576439480192e-08
137.0,0.009313278016634285,3.232708100012984e-05,1.9504038029684706e-08,7.972499885149006e-07,1.872388446678928e-06,-1.8926693266219427e-08
138.0,0.009177707019262016,-2.8751896153057848e-05,3.6688270619555e-08,2.7188810398486764e-07,-3.297239709160131e-07,-1.1609766450519663e-08
139.0,0.010475327027961612,1.4392150063786501e-05,3.323430419525166e-08,4.1077899400030565e-07,6.410029415419691e-07,-8.761649646265742e-09
140.0,0.010779838892631233,-8.125770901885568e-06,4.01442126347768e-08,2.2805587805163994e-07,1.1484304096531915e-06,-4.333518270465316e-09
141.0,0.012058902066200972,-3.0014095677914648e-05,5.39930224746317e-08,-4.468275286457615e-07,-6.615574074684113e-07,-1.583414771419118e-09
142.0,0.016498545999638736,-3.5164994917330105e-06,4.3078287156112373e-08,-5.543781267536647e-07,3.7408710499202187e-07,-8.95541930668611e-09
143.0,0.0105255669914186,-3.654892850437954e-05,4.7015766040331746e-08,-1.322147729008452e-06,-2.0250890803130918e-07,-1.479056341840896e-08
144.0,0.009236779995262623,-4.84700650986133e-05,4.514523580976567e-08,-2.216556450316709e-06,-6.855674716668811e-06,-2.7002951112496134e-08
145.0,0.010827059973962605,0.00011139449462624739,-2.9081565509586634e-08,1.8208487846815682e-07,-1.6746323742575932e-06,-5.1001740735748805e-08
146.0,0.010051743010990322,5.5636776819772944e-05,-4.591453977350852e-08,1.26784589296649e-06,3.2234736830597913e-06,-4.9171470331199486e-08
147.0,0.009064987068995833,-4.48237901871445e-05,-1.669379251932314e-08,4.105985292243222e-07,4.372609057204166e-07,-3.767846370597878e-08
148.0,0.011011702939867973,2.0282496476707016e-06,-1.1878805318312296e-08,4.423302071256093e-07,-4.865776125127078e-07,-3.3157074674613846e-08
149.0,0.00889441603794694,2.963291976828318e-05,-1.6206629038751256e-08,9.498822553894858e-07,2.68186814339407e-06,-2.9222805786287434e-08
150.0,0.01012302003800869,-4.303155939129712e-05,1.0941975916124076e-08,7.777771293520399e-08,-1.4199391769502752e-06,-1.960712868123078e-08
151.0,0.01000902196392417,4.153583120647009e-05,-3.2702264934076368e-09,8.866632697238245e-07,2.3327036448265447e-06,-1.8828649844158534e-08
152.0,0.010038040112704039,-3.61431921220971e-05,2.0145546264412136e-08,3.7819703914356106e-07,7.778569756779891e-07,-9.928288376209464e-09
153.0,0.010943094035610557,-1.178733060573089e-05,2.8657708295512005e-08,-1.2438570581473069e-07,-3.8642424135087246e-07,-5.7896426128719886e-09
154.0,0.010014188941568136,2.9591441327675954e-06,2.478798293102224e-08,-4.655622284093455e-08,4.48818474555105e-07,-7.0352645725310125e-09
155.0,0.009675677982158959,-1.803208165883673e-05,2.913060596326124e-08,-3.9406951994303305e-07,-1.1702921514867499e-06,-7.48572759280553e-09
156.0,0.009702972951345146,1.5742608960629135e-05,1.7775292872213793e-08,-8.994533441168738e-08,-5.544624356980942e-07,-1.1309373485762346e-08
157.0,0.009682158939540386,1.0048726745467143e-05,1.2406899443780153e-08,-1.1071802541748884e-07,-3.414553326141313e-07,-1.2180238509406414e-08
158.0,0.010557083995081484,3.7108163701910068e-06,8.802126816804282e-09,8.829770205603554e-08,1.2276715260509254e-07,-1.334909800350841e-08
159.0,0.010155759984627366,-2.1660995204941195e-06,1.0048920552657723e-08,3.705723407005549e-08,4.341025958768829e-07,-1.2452367734233175e-08
160.0,0.009070338914170861,-1.3139563212813614e-05,1.3986378220782402e-08,3.5396089481100185e-07,1.0721714484997296e-06,-1.2116246061996012e-08
161.0,0.010831873980350792,-2.058830123978955e-05,2.560000423626164e-08,1.6393867315838e-08,-1.2054166789068319e-06,-8.282186255431038e-09
162.0,0.009752472047694027,3.200871143585112e-05,1.3844211769398597e-08,6.214387729427677e-07,2.1991732257645936e-06,-8.122305522679724e-09
163.0,0.010206053964793682,-4.330045462282655e-05,3.628909238948144e-08,-2.596562042129665e-07,-1.0338645165009651e-06,-1.7798678702106686e-09
164.0,0.009255205048248172,1.6140363228923188e-05,2.672046429715705e-08,3.545646843969699e-08,1.22203975756651e-07,-4.1830392822514745e-09
165.0,0.010936669073998928,-5.662359315501353e-06,2.805696873953453e-08,-8.865800345323e-08,-8.99747122630974e-07,-3.795263620393822e-09
166.0,0.009698863024823368,1.9311820551697138e-05,1.933044464015776e-08,2.721203793360156e-07,1.5191528394734797e-06,-4.655145451941017e-09
167.0,0.009645104059018195,-3.670960340006741e-05,3.398283185843244e-08,-4.333683943903026e-07,-1.3986578471978008e-06,-2.0305160766656416e-09
168.0,0.010670118033885956,2.0672685043135524e-05,1.9058987539811078e-08,6.2482102735235185e-09,-9.308843136538454e-08,-6.65460799696581e-09
169.0,0.0090879489434883,2.8278585952484334e-07,1.8213004628333047e-08,7.481515856452235e-09,4.500080110073965e-07,-6.59782458101185e-09
170.0,0.010281348950229585,-1.5303815409393902e-05,2.283969401989885e-08,-3.0762057668202126e-07,-1.7122516497125476e-06,-6.520904505814989e-09
171.0,0.010401012958027422,3.537844192701709e-05,5.030542423834809e-09,4.086394041887781e-07,1.568494626740787e-06,-9.720470110040561e-09
172.0,0.010334328981116414,-3.1787480129308936e-05,2.1239881901687495e-08,-1.8827564929141365e-07,-3.3386747816056417e-07,-5.497456072506327e-09
173.0,0.009643586003221571,1.6873640909941966e-08,1.8020202162367395e-08,2.3984142069746453e-07,5.259332229602064e-07,-7.313108488760457e-09
174.0,0.00920096505433321,-9.100717941919149e-06,2.2859295367737092e-08,5.31772669021576e-08,-3.1004634855048204e-07,-5.106335958341456e-09
175.0,0.010232758009806275,7.907818115986705e-06,1.968666611119596e-08,2.1426024226508634e-07,-1.3243803000394663e-07,-4.562185854508797e-09
176.0,0.010066204937174916,9.007166999944364e-06,1.8353517759700514e-08,3.8721636729192694e-07,1.2759549670282885e-06,-2.4053983459796916e-09
177.0,0.01101013005245477,-2.5247450048408738e-05,3.240194788775761e-08,6.317210267691725e-07,1.4532282405772918e-06,1.8579042163435173e-09
178.0,0.009211502969264984,-2.2942575371527432e-05,4.5788364140855064e-08,8.317795584060028e-08,6.476554159074179e-07,7.677004330174873e-09
179.0,0.010498529998585582,-2.073564080791875e-05,5.2587793953505516e-08,-3.5036390594367904e-07,-1.95916249312207e-06,8.550250594788442e-09
180.0,0.010023726033978164,3.832232883513847e-05,3.2949685866404256e-08,3.98187314150263e-07,1.633358204587014e-06,5.03829878941451e-09
181.0,0.010014374041929841,-3.650734535500498e-05,4.930674587159358e-08,-1.4450502664485312e-07,-3.086241563577113e-07,9.025895492066665e-09
182.0,0.010025706957094371,-1.6210105154908577e-06,4.621257052007069e-08,-5.326182231546864e-08,-9.387169189505414e-08,7.577130441098254e-09
183.0,0.009931670967489481,-4.252573520081213e-06,4.5280267763007466e-08,-4.4115263446189305e-08,-7.564394866322556e-08,7.048151546732131e-09
184.0,0.009062375989742577,-4.369058607057966e-06,4.459475385887253e-08,-1.1288540331544247e-07,-2.25895384534908e-07,6.648362442496217e-09
185.0,0.010885021067224443,-2.449933768246051e-06,4.213587783922129e-08,-1.622865130755755e-07,-1.1427879700735316e-06,5.419602449225497e-09
186.0,0.009863766026683152,2.2545192825894407e-05,3.086368468430779e-08,2.65674033392384e-07,1.7551425682518942e-06,3.818846254961764e-09
187.0,0.010103520005941391,-4.466095489455955e-05,4.8596802735920156e-08,-6.329944231680449e-07,-1.4565400368182422e-06,6.503089166400857e-09
188.0,0.010003985022194684,1.3872735283061649e-05,3.4025598023363565e-08,-1.0096938303520463e-06,-2.28906156985997e-06,1.7062243789497267e-10
189.0,0.010015947977080941,2.5704281283180006e-05,1.1098476423310874e-08,3.790801358993252e-07,9.422209556870611e-07,-9.942418439690712e-09
190.0,0.00988963502459228,-1.5445956187325785e-05,2.0416697787578444e-08,-4.540917615336249e-08,-4.1161810909987567e-08,-6.1934542505735435e-09
191.0,0.0098117480520159,-3.2282290321591305e-06,2.0012828469564927e-08,4.907687375237926e-07,1.2086268136384895e-06,-6.638997646239945e-09
192.0,0.010040335939265788,-1.9983527375531884e-05,3.2147847703699744e-08,7.496461453268871e-08,2.1602092483066881e-07,-1.7115146530117115e-09
