tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
53.0,0.009767412906512618,-3.9413105497220765e-05,-1.8992194932977832e-06,-1.2104717042260117e-07,-1.149251398111435e-06,5.0387634147774205e-08
54.0,0.010327734984457493,4.5616307253748545e-07,-7.508690150549968e-08,-1.3291633429281333e-07,-3.41184707154323e-07,3.0772998543679055e-08
55.0,0.010320715955458581,-2.146450479384614e-05,-2.609523622939886e-07,-1.3643760474369941e-07,-6.302662345236759e-07,2.99980479612653e-08
56.0,0.00921531394124031,-2.666647454546281e-05,7.761534385060356e-07,-1.422457059613985e-07,2.0930802403873082e-08,2.7593290019017915e-08
57.0,0.00993098400067538,-3.316200907147676e-05,-9.648219412308884e-07,-1.4203784249760433e-07,-5.442859978251188e-07,3.530125739889054e-08
58.0,0.010333994054235518,-4.107527423525542e-06,1.465822984267973e-07,-1.4766249076293276e-07,-6.374588029681421e-07,2.5330793194814567e-08
59.0,0.01053826801944524,-3.882545857663228e-05,-1.0995466176399635e-06,-1.5438020247996577e-07,-9.357949739277041e-07,2.6875516742542463e-08
60.0,0.009260996943339705,-1.41027866929581e-05,-5.100378203195455e-07,-1.6304659687310288e-07,-6.160069685045127e-07,1.669261887751925e-08
61.0,0.0103208280634135,-1.8883278410903505e-05,-1.7588600414501813e-06,-1.6940429888090253e-07,-9.308450909034442e-07,1.1428606228163034e-08
62.0,0.009291701018810272,6.146962075648834e-06,5.78601893073312e-08,-1.780534331604046e-07,-8.292570114253104e-07,-4.914195410924293e-09
63.0,0.011057017021812499,-4.1365646015679605e-05,-2.418841292274808e-06,-1.8722254205119162e-07,-1.38433986841051e-06,-4.2744343128678386e-09
64.0,0.009037723997607827,9.671412511775812e-06,-2.9521528387202403e-07,-1.9973382370077055e-07,-1.288954664502826e-06,-2.6135254306464597e-08
65.0,0.011020962032489479,-4.652548214555318e-05,-4.570440607272576e-06,-2.139393441198564e-07,-2.2935393860649552e-06,-2.938881074142878e-08
66.0,0.008883727015927434,4.050098906406635e-05,-5.632465669617118e-07,-2.3431452192593526e-07,-1.6015344958726277e-06,-6.999135743894795e-08
