tick,tick_dt,input_force,output_angle,output_ang_vel,output_speed,output_position
124.0,0.010951320989988744,2.183901534536928e-05,0.00437863363347166,0.01787985643325095,1.5654288743067064e-05,6.268078528576976e-06
125.0,0.00995141000021249,2.183901534536928e-05,0.004556563415583878,0.01861718540801365,2.0508015893052364e-05,6.423860774120948e-06
126.0,0.009429250960238278,2.183901534536928e-05,0.004732109528969324,0.019321131571146174,1.2113942906996958e-05,6.617236002673094e-06
127.0,0.009629228967241943,2.183901534536928e-05,0.0049181571287740975,0.0200851651906181,1.2610951763837233e-05,6.733883932620664e-06
128.0,0.0107558430172503,2.183901534536928e-05,0.005134190012539926,0.020944756706544523,-2.744450307468776e-07,6.869525350090613e-06
129.0,0.01000031700823456,2.183901534536928e-05,0.005343644219265718,0.021842718748186305,1.735726179333285e-05,6.866780812781809e-06
130.0,0.009802837972529233,2.183901534536928e-05,0.005557764852033715,0.022710607946746474,1.1397541131378923e-05,7.036931237788623e-06
131.0,0.010373865952715278,2.183901534536928e-05,0.005793361654577933,0.023671005146846745,8.030403137962455e-06,7.155167801676107e-06
132.0,0.009755801991559565,2.183901534536928e-05,0.006024291293731757,0.02461093003009384,5.667624202764047e-06,7.233510824602467e-06
133.0,0.009672674001194537,2.183901534536928e-05,0.006262344796779063,0.025599675243942365,1.0646441917252716e-05,7.288331905877084e-06
134.0,0.01064301107544452,2.183901534536928e-05,0.0065348024239281245,0.02670647006149423,4.775688908416689e-06,7.401642105116482e-06
135.0,0.009462823974899948,2.183901534536928e-05,0.0067875210491109795,0.02775478278947217,1.1870544806468256e-05,7.446833608615711e-06
136.0,0.010445735999383032,2.183901534536928e-05,0.007077440182850026,0.028966058338384004,1.9502400040206653e-05,7.570830185832926e-06
137.0,0.009486953960731626,2.183901534536928e-05,0.007352239844730142,0.030075318965702327,1.4722920798529383e-05,7.755848557138136e-06
138.0,0.009868875029496849,2.183901534536928e-05,0.007649049409074914,0.03129862542793156,1.636552818930773e-05,7.901147222568002e-06
139.0,0.010610770899802446,2.183901534536928e-05,0.007981151952969428,0.03263633291148602,5.462928857879849e-06,8.074798092839004e-06
140.0,0.00979961606208235,2.183901534536928e-05,0.008300975485176294,0.033968225964374314,1.5767541171153923e-05,8.128332698220697e-06
141.0,0.00935071601998061,2.183901534536928e-05,0.00861860271987169,0.03526923288027164,1.5307297234843232e-05,8.275770498045511e-06
142.0,0.01073854707647115,2.183901534536928e-05,0.00899734303750751,0.03682742272818473,1.6064247486951167e-05,8.440148630015412e-06
143.0,0.009378492017276585,2.183901534536928e-05,0.009342728727580662,0.03824591824672714,2.1276533648775754e-05,8.590807046835338e-06
144.0,0.01071580604184419,2.183901534536928e-05,0.00975256456940482,0.039941683884855486,2.4428846394149704e-05,8.81880225465839e-06
145.0,0.009517860948108137,2.183901534536928e-05,0.010132723962654166,0.041486899174398614,2.3127740065622836e-05,9.0513126177606e-06
146.0,0.010345218935981393,2.183901534536928e-05,0.010561915017588306,0.04325109196174398,2.2480163489729203e-05,9.290574152233938e-06
147.0,0.009480212931521237,2.183901534536928e-05,0.010971944578906444,0.04490557158603382,1.4908839862609743e-05,9.50369088885198e-06
148.0,0.010704268934205174,2.183901534536928e-05,0.011452625893807553,0.04689627578175924,2.0144568349797498e-05,9.663279120238353e-06
149.0,0.009575488977134228,2.183901534536928e-05,0.011901680665624435,0.048730637959623575,2.179959153127066e-05,9.856173212420966e-06
150.0,0.009633266949094832,2.183901534536928e-05,0.012371115909689184,0.0506579739761073,2.2734542117745663e-05,1.0066174497022924e-05
151.0,0.010334052960388362,2.183901534536928e-05,0.012894618095624252,0.05275139800451215,-1.3538468277967406e-07,1.0301114459297887e-05
152.0,0.009935762034729123,2.183901534536928e-05,0.01341874343319637,0.054931490759102516,1.5428890282360313e-05,1.029976930930664e-05
153.0,0.00981244898866862,2.183901534536928e-05,0.013957755884141585,0.057130804741683985,1.0750115957172131e-05,1.0451164508154065e-05
154.0,0.010710177011787891,2.183901534536928e-05,0.014569636915750911,0.059635203161453494,6.7550417160881565e-06,1.0566300152952625e-05
155.0,0.0097045439761132,2.183901534536928e-05,0.015148369367355682,0.06202447671192877,1.778081300791267e-05,1.0631854752346881e-05
156.0,0.009502305067144334,2.183901534536928e-05,0.01573774486670242,0.06445297314509474,2.4187951597890863e-05,1.0800813461889916e-05
157.0,0.010649306932464242,2.183901534536928e-05,0.01642412436043441,0.06724182178086827,1.1872730830664159e-05,1.1058398382523445e-05
158.0,0.009687876095995307,2.183901534536928e-05,0.01707555479831646,0.06992844628258053,2.3888502405540814e-05,1.1173419927732023e-05
159.0,0.009671007050201297,2.183901534536928e-05,0.01775183329532492,0.07270202092277069,2.4689181688748516e-05,1.1404445802914759e-05
160.0,0.010840897099114954,2.183901534536928e-05,0.01853998842304638,0.07588597719867705,1.6751597765597467e-06,1.1672098681063835e-05
161.0,0.009323733975179493,2.183901534536928e-05,0.01924752908689338,0.07882375299436892,2.4549253069365903e-05,1.1687717425186399e-05
162.0,0.009786430979147553,2.183901534536928e-05,0.020018932305090147,0.08201145893971785,3.5485877073214976e-05,1.1927966995939375e-05
163.0,0.010486105922609568,2.183901534536928e-05,0.020878913150399775,0.08548382490393036,1.369680787330902e-05,1.2300075661685809e-05
164.0,0.00989570701494813,2.183901534536928e-05,0.021724836036166196,0.08895721417493488,1.871537933309861e-05,1.243561525944011e-05
165.0,0.009625895996578038,2.183901534536928e-05,0.022581128927959437,0.09246808615986611,2.0642667799770543e-05,1.2615767554437022e-05
166.0,0.01043432904407382,2.183901534536928e-05,0.02354597136502725,0.09641105483144148,1.4424048804165905e-05,1.2831159942607335e-05
167.0,0.009556007920764387,2.183901534536928e-05,0.024467276168645753,0.10018533887222755,2.0259069924475183e-05,1.2968996267229437e-05
168.0,0.010866730008274317,2.183901534536928e-05,0.02555596319695772,0.1046887432920359,3.0785911674229e-05,1.3189146110317459e-05
169.0,0.009660321054980159,2.183901534536928e-05,0.026567290068001185,0.1088245231031851,3.573437797799948e-05,1.3486547901060773e-05
170.0,0.009821300976909697,2.183901534536928e-05,0.027636088463066227,0.11320524924906594,3.530934184747567e-05,1.383750598240536e-05
171.0,0.010419070022180676,2.183901534536928e-05,0.028815581881870663,0.11796813932311696,4.696531253232646e-06,1.4205396487551323e-05
