tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
93.0,0.00949422549456358,0.0,5.715787523109077e-08,6.927552608668377e-07,2.8697458478517304e-06,-1.4352980303490632e-07
94.0,0.01080271601676941,0.0,8.6687750970259e-08,7.237563103014831e-07,3.154884344049753e-06,-1.4291234274066292e-07
95.0,0.009572447277605534,0.0,1.0764778081501109e-07,7.539562743518426e-07,4.2531720587015875e-06,-1.4208252881488593e-07
96.0,0.010239609517157078,0.0,1.361907359076784e-07,7.975070954422299e-07,2.923467740858383e-06,-1.409802575739517e-07
97.0,0.009407301433384418,0.0,1.596750676017918e-07,8.2500903771126e-07,4.1494435662933185e-06,-1.3969907026883373e-07
98.0,0.010606273077428341,0.0,1.9263917468486156e-07,8.690191692947451e-07,3.543398008553881e-06,-1.3800551289819228e-07
99.0,0.009506577625870705,0.0,2.1766642899054516e-07,9.027047575224182e-07,4.963533770393327e-06,-1.3617417363026698e-07
100.0,0.010912992060184479,0.0,2.541453252053749e-07,9.568717621491781e-07,3.732800747656879e-06,-1.3379878161892445e-07
101.0,0.009464245289564133,0.0,2.806196281296361e-07,9.921999040420711e-07,5.532044235322496e-06,-1.3139348792198473e-07
102.0,0.009974721819162369,0.0,3.17508310001148e-07,1.047380506380714e-06,3.985313379688912e-06,-1.2859438519439482e-07
103.0,0.009437170810997486,0.0,3.0969903430838407e-07,1.084990589480192e-06,5.2419372896571e-06,-1.2559800503900285e-07
104.0,0.010594625025987625,0.0,3.490786765417792e-07,1.1405269494738507e-06,5.08148935321325e-06,-1.2231685989959503e-07
105.0,0.009441337548196316,0.0,3.8677739115551703e-07,1.1885030057051028e-06,6.206506998239916e-06,-1.1902109028348646e-07
106.0,0.010160238482058048,0.0,4.3290644061529075e-07,1.2515625969477825e-06,5.099659450941329e-06,-1.1509133974987816e-07
107.0,0.0103988666087389,0.0,4.766914523673773e-07,1.304593275328116e-06,6.536335529377854e-06,-1.105896034198558e-07
108.0,0.009646834805607796,0.0,3.791876569481098e-07,1.3676482244140492e-06,6.398454462992575e-06,-1.0599103972562246e-07
109.0,0.009792223572731018,0.0,4.2932660798943954e-07,1.4303033210356111e-06,6.0900255046436945e-06,-1.0227794941276654e-07
110.0,0.010669753886759281,0.0,-6.680424783624448e-07,1.4952823943342464e-06,4.463268833889816e-06,-9.769714016848204e-08
111.0,0.010689234361052513,0.0,-6.141931564114662e-07,1.5429913209160762e-06,5.895371600793846e-06,-1.0483800278283657e-07
112.0,0.008701750077307224,0.0,-1.1769597932092542e-07,1.5942913711990388e-06,6.241484637767995e-06,-1.1018255812912161e-07
113.0,0.0104601439088583,0.0,3.577331986600488e-08,1.6595781987150204e-06,5.00891607374162e-06,-1.114136750103125e-07
114.0,0.009690001606941223,0.0,7.615120609940298e-08,1.7081146035186105e-06,8.616367096361786e-06,-1.1106703148332529e-07
115.0,0.010486922226846218,0.0,1.4369946295167567e-07,1.7984737751361132e-06,7.300361619077953e-06,-1.1026843970748031e-07
116.0,0.010167478583753109,0.0,2.12834523725125e-07,1.8727000455517415e-06,8.440061332673558e-06,-1.0880737849542233e-07
117.0,0.009473392739892006,0.0,8.902605175788152e-07,1.9526560613049345e-06,1.0105896259519718e-05,-1.0679111346356635e-07
118.0,0.0096408911049366,0.0,9.745969863795515e-07,2.05008590666075e-06,9.263541576899057e-06,-9.82082087585645e-08
119.0,0.010491736233234406,0.0,-7.675272703235783e-07,2.1472765414711753e-06,6.857453784063591e-06,-8.79829942437651e-08
120.0,0.009584872983396053,0.0,-5.354299312179884e-07,2.2130043649809336e-06,8.667266659257889e-06,-9.533964564110929e-08
121.0,0.010546348057687283,0.0,-4.450479027164288e-07,2.304412375878256e-06,8.099561484997101e-06,-1.0098647605623775e-07
122.0,0.009599132463335991,0.0,-3.634726234852332e-07,2.3821611394676774e-06,9.698505831648344e-06,-1.0525854982694263e-07
123.0,0.010439607314765453,0.0,-2.666900301938054e-07,2.4834097318900487e-06,9.17037149770082e-06,-1.0905306128579606e-07
124.0,0.009822316467761993,0.0,-1.7558731155660953e-07,2.5734840228674107e-06,1.0748129969925634e-05,-1.1167257516115662e-07
125.0,0.009495076723396778,0.0,-7.947630765918869e-08,2.675538341564895e-06,1.0652502863603286e-05,-1.133397901560416e-07
126.0,0.010375885292887688,0.0,3.037186523998704e-08,2.7860674893598e-06,1.1164394086950092e-05,-1.1416442720781559e-07
127.0,0.010429478250443935,0.0,1.41365826479688e-07,2.902506294669031e-06,1.2686208513544105e-05,-1.1384766449986973e-07
128.0,0.00983420480042696,0.0,1.3193872802977376e-07,3.027265067332144e-06,1.269786300570311e-05,-1.1245744401048686e-07
129.0,0.009930703788995743,0.0,2.4960698822651493e-07,3.1533637835950285e-06,1.31048275608945e-05,-1.1114719958412631e-07
