tick,tick_dt,input_force,output_position,output_ang_vel,output_angle,output_speed
44.0,0.009546149987727404,-0.06354752607299884,0.036317957546657426,0.7535605116164044,0.061778773589530524,0.4265331417003715
45.0,0.010730299982242286,-0.06354752607299884,0.04089478610947067,0.7655490642791029,0.06986470393394652,0.42649910644163724
46.0,0.01271725504193455,-12.655929443969908,0.04631868402124616,0.2616581543534068,0.07960038663149821,0.10906981805721962
47.0,0.006809093989431858,-12.655929443969908,0.047061350663808,-0.002112130092450315,0.08138204159759183,-0.05736528136032877
48.0,0.00959524093195796,-12.655929443969908,0.04651091696802609,-0.37714579147130484,0.08136177520047512,-0.2939336659006634
49.0,0.010605172952637076,-12.655929443969908,0.04339369960454691,-0.7928846944602579,0.07736207885356274,-0.555665360540669
50.0,0.009463688009418547,-12.655929443969908,0.03813505599474895,-1.165980302051212,0.06985846547774771,-0.7896886313460416
51.0,0.011566678062081337,-12.655929443969908,0.029000981826683654,-1.626309008154953,0.05637194669719298,-1.0766300754246516
52.0,0.008912676014006138,-12.655929443969908,0.01940532677748874,-1.984459601728049,0.04187718140884822,-1.2984631503607267
53.0,0.009642184944823384,-12.655929443969908,0.006885304937672599,-2.376317694093213,0.022742654913455815,-1.5392763362718682
54.0,0.010662097949534655,-12.655929443969908,-0.009526610131058903,-2.815182227996996,-0.0025938771001783496,-1.8064542273298998
55.0,0.009531798074021935,-12.655929443969908,-0.02674536705593083,-3.2119213218207245,-0.029427625639020898,-2.0457799397631597
56.0,0.01039125001989305,-12.655929443969908,-0.04800357789569157,-3.6487567620399433,-0.06280350313828542,-2.306739552574475
57.0,0.009690870065242052,-12.655929443969908,-0.0703578911740454,-4.058782987133565,-0.09816313081888783,-2.549423315868154
58.0,0.009587464039213955,-12.655929443969908,-0.09480039553566492,-4.465273528954205,-0.13707656675100427,-2.787966220502249
59.0,0.010578876012004912,-12.655929443969908,-0.12429394450801616,-4.911737579122495,-0.18431414177349842,-3.0479915278513063
60.0,0.009449669043533504,-12.655929443969908,-0.15309645569370503,-5.306264108092082,-0.23072843632489246,-3.2760452407716554
61.0,0.01024530699942261,-12.655929443969908,-0.186660544929408,-5.724844659273279,-0.28509274113231325,-3.5168709795597337
62.0,0.010510154999792576,-12.655929443969908,-0.22362340403885317,-6.140050693735842,-0.3452617458510101,-3.7548456049737964
63.0,0.00955846393480897,-12.655929443969908,-0.25951396033477114,-6.50222777221166,-0.40395119896498294,-3.9622121340555183
64.0,0.009659759001806378,-12.655929443969908,-0.2977879746637804,-6.850317678366637,-0.46676115221939996,-4.162321878074504
65.0,0.011003593099303544,-12.655929443969908,-0.34358847095844114,-7.222233684713808,-0.5421392605531121,-4.376670471696474
66.0,0.009430706966668367,-12.655929443969908,-0.3848635676666808,-7.525674739449863,-0.6102500300784496,-4.548490467440544
67.0,0.009693980915471911,-12.655929443969908,-0.4289565474522553,-7.820376956916071,-0.6832037773787256,-4.712212783451348
68.0,0.010503340046852827,-12.655929443969908,-0.4784505206899717,-8.119093529033682,-0.7653438558517872,-4.873699572121164
69.0,0.009473873069509864,-12.655929443969908,-0.5246233318151721,-8.375697751703338,-0.8422631173853312,-5.005313298834707
70.0,0.010507876984775066,-12.655929443969908,-0.5772185482295858,-8.640871455402019,-0.9302739190218869,-5.13435792554733
