tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
129.0,0.009947420097887516,7.116621790213541e-05,-9.874446206246173e-09,4.125129323807291e-07,4.3719552786601575e-07,5.926955649672848e-08
130.0,0.010028606280684471,3.278008929315408e-05,2.99862512078455e-08,4.168973941973734e-07,3.265394938068625e-07,5.917052956348624e-08
131.0,0.009888142347335815,2.7878261632325244e-05,-1.7464359707959994e-06,4.2012626319416265e-07,-3.240980960233549e-07,5.946703788389239e-08
132.0,0.009674720466136932,5.591569298449693e-05,-6.024554059940525e-07,4.169907047115295e-07,1.715757346328226e-07,4.257075805443461e-08
133.0,0.010328305885195732,4.255818885460519e-05,2.733781641125269e-07,4.1876279138129446e-07,6.354115649752297e-07,3.6348414339138256e-08
134.0,0.009608238935470581,3.483233596615133e-05,6.512449275045221e-07,4.2486797751993777e-07,7.366312602491383e-07,3.89750970596717e-08
135.0,0.009952105581760406,2.759203181397756e-05,7.302797066769617e-07,4.321990095967624e-07,9.033276361945086e-07,4.545635533778261e-08
136.0,0.01063572894781828,3.0996105181833335e-05,-3.5164505017588527e-07,4.4180655748640064e-07,2.808533245897712e-07,5.322341235409101e-08
137.0,0.008850728161633015,3.941364331235442e-05,1.1208597739204178e-06,4.4429231391563556e-07,9.033233610272785e-07,5.011109760560045e-08
138.0,0.010310583747923374,1.9822272773040084e-05,-3.2674665338605254e-07,4.5360610508096296e-07,1.2608098776361048e-06,6.166781617428538e-08
139.0,0.010793856345117092,7.38836004929479e-05,4.4167950910780065e-06,4.672151057786717e-07,2.316668352237854e-06,5.814095973638856e-08
140.0,0.009932160377502441,-2.4083561618049883e-05,1.2657169966066865e-06,4.902246273945824e-07,9.958268195760705e-07,1.0200927693554082e-07
141.0,0.009906736202538013,1.546321741544498e-05,7.70053946735007e-07,5.00090020999535e-07,1.0259651302271316e-06,1.1454840132799196e-07
142.0,0.009884587489068508,2.999613324585632e-05,-2.39792289496525e-07,5.102312630899986e-07,2.8170109831903914e-07,1.2216006693579663e-07
143.0,0.011548164300620556,3.1960603959642164e-05,-4.257467974947826e-07,5.134843936570522e-07,1.9158066974833163e-07,1.1939090617866878e-07
144.0,0.019324328750371933,3.459694847964077e-05,3.053035802165759e-06,5.171865615014854e-07,1.1109247593593962e-06,1.1116363509946157e-07
145.0,0.020081118680536747,-3.168602612987452e-05,4.5910620331517195e-06,5.394951734393282e-07,-1.6279372574822126e-07,1.7247200937867989e-07
146.0,0.020222356542944908,-0.00012839324891167903,-5.143196518663239e-06,5.362031006742932e-07,-2.1259845977244855e-06,2.6531410272385153e-07
147.0,0.01956410426646471,7.129109642364825e-05,7.796257938621412e-08,4.946101163355134e-07,3.1736740214526937e-07,1.646920697698056e-07
148.0,0.020084118470549583,1.81099596701872e-05,1.3611923768892225e-06,5.009841608388896e-07,6.136124162843551e-07,1.6625787945046797e-07
149.0,0.02021993137896061,-8.151764658589584e-06,-3.2883020822496232e-06,5.133913617894374e-07,-9.895549596581914e-07,1.9378109590473234e-07
150.0,0.020062136463820934,6.59045567968458e-05,5.340283507814586e-07,4.93538775150324e-07,4.700109750729098e-07,1.2781073079637387e-07
151.0,0.010130475275218487,1.4738103617791099e-05,2.74352394473148e-07,4.983002097123814e-07,3.092712055587864e-07,1.3322069180023114e-07
152.0,0.008965170942246914,1.6068218492427272e-05,-6.5800191040354665e-06,5.010728789377306e-07,7.089950198400469e-07,1.3568030791509767e-07
153.0,0.009369741193950176,0.00022901008554581436,5.582152129688365e-06,5.077159787814315e-07,4.300581256306548e-06,7.402723185903743e-08
154.0,0.010515508241951466,1.4494450219516196e-05,2.3732863830320797e-06,5.52938776427305e-07,1.2994532172476972e-06,1.3272639858660235e-07
155.0,0.010002697817981243,-5.663218513701467e-06,2.6018076804772105e-06,5.659368142880372e-07,1.2720364086616056e-06,1.5646566511160193e-07
156.0,0.009128596633672714,-1.534514126583545e-05,5.086313046941759e-07,5.775487215660548e-07,4.045520504217047e-07,1.8021651794507e-07
157.0,0.010542397387325764,1.1712037254079335e-05,-3.0625770601130877e-07,5.818136700454578e-07,5.603201175021464e-07,1.8557871128278998e-07
158.0,0.010441026650369167,4.0575853180194974e-05,3.07106995358414e-06,5.876639873250358e-07,1.3986428504119147e-06,1.8238106641244498e-07
159.0,0.009940791875123978,-2.6176848917618467e-05,4.995956762180351e-07,6.015676048086108e-07,3.1940772713177343e-07,2.1290993365497158e-07
160.0,0.009077855385839939,6.3918758561244506e-06,3.9099632900672657e-07,6.044671419646329e-07,4.051317838676511e-07,2.174451909550698e-07
161.0,0.010618283413350582,1.2273927174538596e-05,-2.0488173217816253e-08,6.087689460654959e-07,6.547880165329204e-07,2.215969007900429e-07
162.0,0.010463972575962543,3.299834591417532e-05,3.2190981696744126e-06,6.156206299135652e-07,1.3380678715407126e-06,2.213825131073601e-07
163.0,0.009351778775453568,-3.5678708411205876e-05,9.478339376812329e-07,6.28133944634756e-07,4.4978415844754536e-07,2.514868070466227e-07
