tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
56.0,0.01001456193625927,1.0479253708450952e-05,-5.333146561583434e-07,-9.401927966363477e-08,-1.2857342866078047e-07,4.600071397375339e-08
57.0,0.01033585425466299,2.0882422914242913e-05,8.022964852110769e-07,-9.953154222156312e-08,-1.2809797198553733e-07,3.7203769562045057e-07
58.0,0.00938966404646635,-5.316879681134659e-06,6.137565749099508e-07,-9.199824775977035e-08,-1.246046630110398e-07,2.7838797770689173e-07
59.0,0.010156172327697277,-3.9407355816496646e-06,-3.861941730214322e-07,-8.576483021772765e-08,-1.2177730673548945e-07,1.9416783545118248e-07
60.0,0.010070301592350006,2.140151817936459e-05,1.3589167240625349e-06,-8.965392201326168e-08,-1.1982197807296225e-07,6.114689961832721e-07
61.0,0.010164320468902588,-1.3461886307710464e-05,6.090099380230819e-07,-7.58414569393388e-08,-1.1360681123895731e-07,3.086224366037168e-07
62.0,0.009929249063134193,-3.991123652317091e-06,-4.1914558267788286e-07,-6.97944455827837e-08,-1.1054242219944767e-07,-9.036143571574457e-08
63.0,0.009757029823958874,1.0796526221719792e-05,1.955155153206625e-06,-7.388406153355243e-08,-1.1142408142266193e-07,8.974963531763778e-07
64.0,0.01003132201731205,-2.175734018291791e-05,5.142311655656308e-07,-5.42712705979297e-08,-1.0242100649458647e-07,3.3929141787676335e-07
65.0,0.010333928279578686,-2.0480910412723295e-06,-1.3461354363429365e-06,-4.895724261385032e-08,-9.891479331637144e-08,-3.7854072631042856e-07
66.0,0.009782306849956512,2.5407462500415173e-05,2.8782410945547267e-07,-6.212555251375702e-08,-1.0261779485634546e-07,1.4379622048042423e-07
67.0,0.00974971428513527,-1.6539915110081586e-06,-1.786920294523458e-07,-5.931934968219266e-08,-1.01215822791379e-07,1.0872911589600793e-07
68.0,0.010242225602269173,1.0339114396568587e-05,1.2642596370721978e-07,-6.11495537611709e-08,-1.0010219465683682e-07,1.4902786182359933e-07
