tick,force_value,force_target
170.0,-5.450421056829526e-06,-5.450421056829526e-06
171.0,1.1729592926284072e-05,1.1729592926284072e-05
172.0,2.1639038546746606e-05,2.1639038546746606e-05
173.0,-1.5080030010813561e-05,-1.5080030010813561e-05
174.0,-1.712352983106058e-05,-1.712352983106058e-05
175.0,3.1316572864746684e-05,3.1316572864746684e-05
176.0,2.0405041367379105e-05,2.0405041367379105e-05
177.0,6.009829018924265e-06,6.009829018924265e-06
178.0,-8.62142335293306e-06,-8.62142335293306e-06
179.0,4.918401702611217e-06,4.918401702611217e-06
180.0,2.2833365050555387e-05,2.2833365050555387e-05
181.0,-1.5016551427820377e-05,-1.5016551427820377e-05
182.0,1.6848877373680048e-05,1.6848877373680048e-05
183.0,3.884923223694449e-07,3.884923223694449e-07
184.0,-3.002895116374188e-06,-3.002895116374188e-06
185.0,-2.1268461045530685e-06,-2.1268461045530685e-06
186.0,2.669949812896698e-05,2.669949812896698e-05
187.0,-2.1972046532126485e-05,-2.1972046532126485e-05
188.0,2.5347484192947357e-05,2.5347484192947357e-05
189.0,-2.600328194663404e-05,-2.600328194663404e-05
190.0,-7.326181485633563e-06,-7.326181485633563e-06
191.0,1.8186019817499724e-05,1.8186019817499724e-05
192.0,-1.6491160558271724e-05,-1.6491160558271724e-05
193.0,6.2873274843919426e-06,6.2873274843919426e-06
194.0,-1.0854178508355024e-05,-1.0854178508355024e-05
195.0,1.3108574797227718e-06,1.3108574797227718e-06
196.0,9.411389686457245e-06,9.411389686457245e-06
197.0,-2.395930220354833e-05,-2.395930220354833e-05
198.0,1.469979876112552e-05,1.469979876112552e-05
199.0,-2.6323781881816594e-05,-2.6323781881816594e-05
200.0,7.354700576445564e-06,7.354700576445564e-06
201.0,3.828789149985909e-06,3.828789149985909e-06
202.0,-7.737148533849944e-06,-7.737148533849944e-06
203.0,9.11921732878851e-06,9.11921732878851e-06
204.0,-1.4695768365193336e-05,-1.4695768365193336e-05
205.0,-5.717546733531877e-07,-5.717546733531877e-07
