seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
9958.0,1638445928.568424,124.0,0.0010099411010742188,1638445928.569434,74.0
9959.0,1638445928.5784268,124.0,0.0010890960693359375,1638445928.579516,74.0
9960.0,1638445928.5887377,124.0,0.001016378402709961,1638445928.589754,74.0
9961.0,1638445928.5977576,124.0,0.0011754035949707031,1638445928.598933,74.0
9962.0,1638445928.6078818,124.0,0.0010879039764404297,1638445928.6089697,74.0
9963.0,1638445928.6179826,124.0,0.0012543201446533203,1638445928.619237,74.0
9964.0,1638445928.6282868,124.0,0.0012319087982177734,1638445928.6295187,74.0
9965.0,1638445928.638626,124.0,0.0012066364288330078,1638445928.6398327,74.0
9966.0,1638445928.648119,124.0,0.0012938976287841797,1638445928.6494129,74.0
9967.0,1638445928.6584957,124.0,0.0013992786407470703,1638445928.659895,74.0
9968.0,1638445928.668048,124.0,0.0013530254364013672,1638445928.669401,74.0
9969.0,1638445928.6784923,124.0,0.0012097358703613281,1638445928.679702,74.0
9970.0,1638445928.6877167,124.0,0.0011928081512451172,1638445928.6889095,74.0
9971.0,1638445928.6979537,124.0,0.0012507438659667969,1638445928.6992044,74.0
9972.0,1638445928.70821,124.0,0.0011816024780273438,1638445928.7093916,74.0
9973.0,1638445928.7184715,124.0,0.001199483871459961,1638445928.719671,74.0
9974.0,1638445928.7278206,124.0,0.0010921955108642578,1638445928.7289128,74.0
9975.0,1638445928.737984,124.0,0.0012896060943603516,1638445928.7392735,74.0
9976.0,1638445928.7484465,124.0,0.0012350082397460938,1638445928.7496815,74.0
9977.0,1638445928.7576845,124.0,0.0011687278747558594,1638445928.7588532,74.0
9978.0,1638445928.76784,124.0,0.0010809898376464844,1638445928.768921,74.0
9979.0,1638445928.7778869,124.0,0.0011925697326660156,1638445928.7790794,74.0
9980.0,1638445928.7881021,124.0,0.0012633800506591797,1638445928.7893655,74.0
9981.0,1638445928.79845,124.0,0.0012431144714355469,1638445928.799693,74.0
9982.0,1638445928.8076987,124.0,0.0011708736419677734,1638445928.8088696,74.0
9983.0,1638445928.8178673,124.0,0.0012426376342773438,1638445928.81911,74.0
9984.0,1638445928.8281314,124.0,0.0011553764343261719,1638445928.8292868,74.0
9985.0,1638445928.8382556,124.0,0.0011949539184570312,1638445928.8394506,74.0
9986.0,1638445928.8486738,124.0,0.001222848892211914,1638445928.8498967,74.0
9987.0,1638445928.8579304,124.0,0.001222848892211914,1638445928.8591533,74.0
9988.0,1638445928.8681593,124.0,0.001115560531616211,1638445928.8692749,74.0
9989.0,1638445928.8783097,124.0,0.0010843276977539062,1638445928.879394,74.0
9990.0,1638445928.8884113,124.0,0.0012080669403076172,1638445928.8896194,74.0
9991.0,1638445928.8986742,124.0,0.0012042522430419922,1638445928.8998785,74.0
9992.0,1638445928.9079168,124.0,0.0011668205261230469,1638445928.9090836,74.0
9993.0,1638445928.9180818,124.0,0.0012543201446533203,1638445928.919336,74.0
9994.0,1638445928.928322,124.0,0.0012128353118896484,1638445928.929535,74.0
9995.0,1638445928.9384568,124.0,0.0012955665588378906,1638445928.9397523,74.0
9996.0,1638445928.9478211,124.0,0.0012013912200927734,1638445928.9490225,74.0
9997.0,1638445928.9580317,124.0,0.0011327266693115234,1638445928.9591644,74.0
9998.0,1638445928.9682443,124.0,0.0010230541229248047,1638445928.9692674,74.0
9999.0,1638445928.980441,124.0,0.0013382434844970703,1638445928.9817793,74.0
10000.0,1638445929.059817,124.0,0.00124359130859375,1638445929.0610607,74.0
10001.0,1638445929.0853171,124.0,0.0016644001007080078,1638445929.0869815,74.0
10002.0,1638445929.098278,124.0,0.0013556480407714844,1638445929.0996337,74.0
10003.0,1638445929.1077797,124.0,0.0012998580932617188,1638445929.1090796,74.0
10004.0,1638445929.1182294,124.0,0.0010967254638671875,1638445929.119326,74.0
10005.0,1638445929.1282501,124.0,0.0010991096496582031,1638445929.1293492,74.0
10006.0,1638445929.1383245,124.0,0.001074075698852539,1638445929.1393986,74.0
10007.0,1638445929.1484437,124.0,0.0012683868408203125,1638445929.149712,74.0
10008.0,1638445929.1576595,124.0,0.00121307373046875,1638445929.1588726,74.0
10009.0,1638445929.1679957,124.0,0.0012307167053222656,1638445929.1692264,74.0
10010.0,1638445929.178229,124.0,0.0012013912200927734,1638445929.1794305,74.0
10011.0,1638445929.188461,124.0,0.0011861324310302734,1638445929.1896472,74.0
10012.0,1638445929.1986682,124.0,0.0012006759643554688,1638445929.199869,74.0
10013.0,1638445929.2079604,124.0,0.0009968280792236328,1638445929.2089572,74.0
10014.0,1638445929.2180583,124.0,0.0012516975402832031,1638445929.21931,74.0
10015.0,1638445929.228295,124.0,0.001116037368774414,1638445929.2294111,74.0
10016.0,1638445929.238464,124.0,0.001089334487915039,1638445929.2395535,74.0
10017.0,1638445929.2490492,124.0,0.0012638568878173828,1638445929.250313,74.0
10018.0,1638445929.258312,124.0,0.0011436939239501953,1638445929.2594557,74.0
10019.0,1638445929.268518,124.0,0.0010900497436523438,1638445929.269608,74.0
10020.0,1638445929.2785802,124.0,0.0011112689971923828,1638445929.2796915,74.0
10021.0,1638445929.287827,124.0,0.001285552978515625,1638445929.2891126,74.0
10022.0,1638445929.2983468,124.0,0.0011186599731445312,1638445929.2994654,74.0
10023.0,1638445929.3084815,124.0,0.0012218952178955078,1638445929.3097034,74.0
10024.0,1638445929.317724,124.0,0.0010862350463867188,1638445929.3188102,74.0
10025.0,1638445929.3277526,124.0,0.0011262893676757812,1638445929.3288789,74.0
10026.0,1638445929.3378077,124.0,0.0011751651763916016,1638445929.3389828,74.0
10027.0,1638445929.3483062,124.0,0.0011131763458251953,1638445929.3494194,74.0
10028.0,1638445929.3584046,124.0,0.001088857650756836,1638445929.3594935,74.0
10029.0,1638445929.3686466,124.0,0.0012202262878417969,1638445929.3698668,74.0
10030.0,1638445929.3779051,124.0,0.0012557506561279297,1638445929.379161,74.0
10031.0,1638445929.3883045,124.0,0.0012218952178955078,1638445929.3895264,74.0
10032.0,1638445929.3986294,124.0,0.0012066364288330078,1638445929.399836,74.0
10033.0,1638445929.4079347,124.0,0.0013470649719238281,1638445929.4092817,74.0
10034.0,1638445929.4185286,124.0,0.00128173828125,1638445929.4198103,74.0
10035.0,1638445929.4279444,124.0,0.0013186931610107422,1638445929.429263,74.0
10036.0,1638445929.4383905,124.0,0.0011887550354003906,1638445929.4395792,74.0
10037.0,1638445929.448843,124.0,0.00133514404296875,1638445929.4501781,74.0
10038.0,1638445929.4581573,124.0,0.0011911392211914062,1638445929.4593484,74.0
10039.0,1638445929.4684958,124.0,0.001329183578491211,1638445929.469825,74.0
10040.0,1638445929.4778469,124.0,0.0013859272003173828,1638445929.4792328,74.0
10041.0,1638445929.4883626,124.0,0.0013110637664794922,1638445929.4896736,74.0
10042.0,1638445929.497799,124.0,0.0011296272277832031,1638445929.4989285,74.0
10043.0,1638445929.5079885,124.0,0.0011110305786132812,1638445929.5090995,74.0
10044.0,1638445929.5181816,124.0,0.0012383460998535156,1638445929.51942,74.0
10045.0,1638445929.5285404,124.0,0.0011239051818847656,1638445929.5296643,74.0
10046.0,1638445929.5386891,124.0,0.0010929107666015625,1638445929.539782,74.0
10047.0,1638445929.5479636,124.0,0.0012865066528320312,1638445929.5492501,74.0
10048.0,1638445929.5584216,124.0,0.0011889934539794922,1638445929.5596106,74.0
10049.0,1638445929.5676842,124.0,0.0011799335479736328,1638445929.568864,74.0
10050.0,1638445929.577865,124.0,0.0011413097381591797,1638445929.5790062,74.0
10051.0,1638445929.5880122,124.0,0.0013480186462402344,1638445929.5893602,74.0
10052.0,1638445929.5983434,124.0,0.0012149810791015625,1638445929.5995584,74.0
10053.0,1638445929.608554,124.0,0.0012345314025878906,1638445929.6097884,74.0
10054.0,1638445929.6176999,124.0,0.0012712478637695312,1638445929.618971,74.0
10055.0,1638445929.627985,124.0,0.001222848892211914,1638445929.6292078,74.0
10056.0,1638445929.638195,124.0,0.0012259483337402344,1638445929.639421,74.0
10057.0,1638445929.6485558,124.0,0.0011148452758789062,1638445929.6496706,74.0
10058.0,1638445929.6576538,124.0,0.0011298656463623047,1638445929.6587837,74.0
10059.0,1638445929.6678135,124.0,0.0010967254638671875,1638445929.6689103,74.0
10060.0,1638445929.677924,124.0,0.0012438297271728516,1638445929.6791677,74.0
10061.0,1638445929.6882296,124.0,0.0010113716125488281,1638445929.689241,74.0
10062.0,1638445929.6982021,124.0,0.0010221004486083984,1638445929.6992242,74.0
10063.0,1638445929.7082796,124.0,0.0012633800506591797,1638445929.709543,74.0
10064.0,1638445929.7185638,124.0,0.0011904239654541016,1638445929.7197542,74.0
10065.0,1638445929.72784,124.0,0.0011703968048095703,1638445929.7290103,74.0
10066.0,1638445929.7382133,124.0,0.0010843276977539062,1638445929.7392976,74.0
10067.0,1638445929.7483468,124.0,0.001110076904296875,1638445929.749457,74.0
10068.0,1638445929.7585294,124.0,0.001131296157836914,1638445929.7596607,74.0
10069.0,1638445929.7677093,124.0,0.0012197494506835938,1638445929.768929,74.0
10070.0,1638445929.777924,124.0,0.0012068748474121094,1638445929.779131,74.0
10071.0,1638445929.7882793,124.0,0.0012164115905761719,1638445929.7894957,74.0
10072.0,1638445929.798454,124.0,0.0011725425720214844,1638445929.7996266,74.0
10073.0,1638445929.8076158,124.0,0.0010967254638671875,1638445929.8087125,74.0
10074.0,1638445929.81867,124.0,0.0012094974517822266,1638445929.8198795,74.0
10075.0,1638445929.8278408,124.0,0.0010843276977539062,1638445929.8289251,74.0
10076.0,1638445929.8379238,124.0,0.0010902881622314453,1638445929.839014,74.0
10077.0,1638445929.8482008,124.0,0.0011627674102783203,1638445929.8493636,74.0
10078.0,1638445929.8583908,124.0,0.0012209415435791016,1638445929.8596117,74.0
10079.0,1638445929.868682,124.0,0.0011379718780517578,1638445929.8698199,74.0
10080.0,1638445929.8778598,124.0,0.0013883113861083984,1638445929.8792481,74.0
10081.0,1638445929.8882885,124.0,0.0011196136474609375,1638445929.889408,74.0
10082.0,1638445929.8983674,124.0,0.001089334487915039,1638445929.8994567,74.0
10083.0,1638445929.908587,124.0,0.001184225082397461,1638445929.9097712,74.0
10084.0,1638445929.917745,124.0,0.001092672348022461,1638445929.9188378,74.0
10085.0,1638445929.9278727,124.0,0.0012676715850830078,1638445929.9291403,74.0
10086.0,1638445929.9381359,124.0,0.0011930465698242188,1638445929.939329,74.0
10087.0,1638445929.948509,124.0,0.001230478286743164,1638445929.9497395,74.0
10088.0,1638445929.95778,124.0,0.0011267662048339844,1638445929.9589067,74.0
10089.0,1638445929.9679441,124.0,0.0011017322540283203,1638445929.9690459,74.0
10090.0,1638445929.9780893,124.0,0.0012164115905761719,1638445929.9793057,74.0
10091.0,1638445929.988325,124.0,0.0010027885437011719,1638445929.989328,74.0
10092.0,1638445929.9983454,124.0,0.0010995864868164062,1638445929.999445,74.0
10093.0,1638445930.0083466,124.0,0.0011513233184814453,1638445930.009498,74.0
10094.0,1638445930.0184548,124.0,0.0010943412780761719,1638445930.0195491,74.0
10095.0,1638445930.0284944,124.0,0.0012412071228027344,1638445930.0297356,74.0
10096.0,1638445930.037674,124.0,0.0012750625610351562,1638445930.038949,74.0
10097.0,1638445930.048227,124.0,0.001096963882446289,1638445930.049324,74.0
10098.0,1638445930.0583434,124.0,0.0011243820190429688,1638445930.0594678,74.0
10099.0,1638445930.0684278,124.0,0.0010035037994384766,1638445930.0694313,74.0
10100.0,1638445930.0784876,124.0,0.0010752677917480469,1638445930.079563,74.0
10101.0,1638445930.0885482,124.0,0.001222372055053711,1638445930.0897706,74.0
10102.0,1638445930.097906,124.0,0.0012912750244140625,1638445930.0991974,74.0
10103.0,1638445930.1083224,124.0,0.0012192726135253906,1638445930.1095417,74.0
10104.0,1638445930.1186445,124.0,0.0011997222900390625,1638445930.1198442,74.0
10105.0,1638445930.1278815,124.0,0.0011835098266601562,1638445930.129065,74.0
10106.0,1638445930.1380982,124.0,0.0011935234069824219,1638445930.1392918,74.0
10107.0,1638445930.1483145,124.0,0.0011377334594726562,1638445930.1494522,74.0
10108.0,1638445930.1584206,124.0,0.0012133121490478516,1638445930.1596339,74.0
10109.0,1638445930.1677,124.0,0.0012054443359375,1638445930.1689055,74.0
10110.0,1638445930.1779118,124.0,0.0010843276977539062,1638445930.178996,74.0
10111.0,1638445930.1880379,124.0,0.001222372055053711,1638445930.1892602,74.0
10112.0,1638445930.1982992,124.0,0.0012323856353759766,1638445930.1995316,74.0
10113.0,1638445930.2085185,124.0,0.0011053085327148438,1638445930.2096238,74.0
10114.0,1638445930.2186208,124.0,0.001196146011352539,1638445930.219817,74.0
10115.0,1638445930.2278872,124.0,0.0012240409851074219,1638445930.2291112,74.0
10116.0,1638445930.2381139,124.0,0.0010902881622314453,1638445930.2392042,74.0
10117.0,1638445930.248583,124.0,0.0011112689971923828,1638445930.2496943,74.0
10118.0,1638445930.2577047,124.0,0.0011353492736816406,1638445930.25884,74.0
10119.0,1638445930.26787,124.0,0.000965118408203125,1638445930.268835,74.0
10120.0,1638445930.2777421,124.0,0.0011904239654541016,1638445930.2789326,74.0
10121.0,1638445930.2879248,124.0,0.0009317398071289062,1638445930.2888565,74.0
10122.0,1638445930.2977576,124.0,0.0010704994201660156,1638445930.2988281,74.0
10123.0,1638445930.3078089,124.0,0.001102447509765625,1638445930.3089113,74.0
10124.0,1638445930.3178313,124.0,0.0011107921600341797,1638445930.318942,74.0
10125.0,1638445930.3280678,124.0,0.001310110092163086,1638445930.329378,74.0
10126.0,1638445930.3384242,124.0,0.0012459754943847656,1638445930.3396702,74.0
10127.0,1638445930.3479457,124.0,0.001294851303100586,1638445930.3492405,74.0
10128.0,1638445930.358293,124.0,0.0011928081512451172,1638445930.3594859,74.0
10129.0,1638445930.3685029,124.0,0.0011053085327148438,1638445930.3696082,74.0
10130.0,1638445930.3785124,124.0,0.0011112689971923828,1638445930.3796237,74.0
10131.0,1638445930.387635,124.0,0.0012066364288330078,1638445930.3888416,74.0
10132.0,1638445930.3978498,124.0,0.0011968612670898438,1638445930.3990467,74.0
10133.0,1638445930.408088,124.0,0.0011587142944335938,1638445930.4092467,74.0
10134.0,1638445930.4182518,124.0,0.0010981559753417969,1638445930.41935,74.0
10135.0,1638445930.4283233,124.0,0.0010483264923095703,1638445930.4293716,74.0
10136.0,1638445930.4382958,124.0,0.0009849071502685547,1638445930.4392807,74.0
10137.0,1638445930.4484494,124.0,0.0011065006256103516,1638445930.4495559,74.0
10138.0,1638445930.458737,124.0,0.0011703968048095703,1638445930.4599073,74.0
10139.0,1638445930.468225,124.0,0.0011913776397705078,1638445930.4694164,74.0
10140.0,1638445930.478395,124.0,0.0010714530944824219,1638445930.4794664,74.0
10141.0,1638445930.4885023,124.0,0.0011324882507324219,1638445930.4896348,74.0
10142.0,1638445930.498634,124.0,0.001192331314086914,1638445930.4998264,74.0
10143.0,1638445930.5078158,124.0,0.001111745834350586,1638445930.5089276,74.0
