tick,tick_dt,input_force,output_ang_vel,output_speed,output_position,output_angle
165.0,0.009795628488063812,-4.531990732037809e-06,-2.847213538657558e-07,5.615316089395514e-07,9.257672932987611e-08,7.487936230719044e-08
166.0,0.010257997550070286,2.5038372910124214e-05,-2.0063108156377e-06,-5.973477656335463e-07,9.833691919866505e-08,7.195869135678283e-08
167.0,0.009662001393735409,3.359435380588048e-05,-1.2418823194991536e-07,1.4261696657889302e-07,9.2565344254569e-08,5.257371345982495e-08
168.0,0.01056904997676611,7.848186471995228e-06,-3.494884363192452e-07,3.0823943480683607e-07,9.40726701018761e-08,5.126116182982007e-08
169.0,0.00987518485635519,2.062011775377841e-05,1.073072306030279e-06,7.100120073011682e-07,9.711659150061204e-08,4.780989891600901e-08
170.0,0.009398983791470528,-5.450421056829526e-06,1.8102416959410753e-07,4.933408793294884e-07,1.0378998284898518e-07,5.78956881274635e-08
171.0,0.010368033312261105,1.1729592926284072e-05,1.309186823225619e-07,7.24752290760859e-07,1.089049575201735e-07,5.97725527481396e-08
172.0,0.010081145912408829,2.1639038546746606e-05,1.7485618845525476e-06,9.975093029241871e-07,1.1621129111368628e-07,6.109236308729365e-08
173.0,0.010393179953098297,-1.5080030010813561e-05,1.7239172700633262e-06,9.644333389188104e-07,1.26578584803867e-07,7.926548141257696e-08
174.0,0.00963868573307991,-1.712352983106058e-05,-1.6027273839121313e-06,-3.187713912541755e-07,1.3587445466821036e-07,9.588177820854642e-08
175.0,0.009426817297935486,3.1316572864746684e-05,-4.065509563331974e-07,2.917597549602532e-07,1.3286945500304853e-07,8.077315998200865e-08
176.0,0.01027221791446209,2.0405041367379105e-05,4.20408365399025e-07,5.372492484235611e-07,1.358664747846703e-07,7.659697996522109e-08
177.0,0.01037625502794981,6.009829018924265e-06,1.0719558752969844e-06,6.598363396704464e-07,1.4144110999988753e-07,8.095924438048489e-08
178.0,0.009555612690746784,-8.62142335293306e-06,6.619159868824626e-08,2.529119731028706e-07,1.4774625050105835e-07,9.120243954639332e-08
179.0,0.010585309006273746,4.918401702611217e-06,-4.501526250088152e-07,3.3250674463509445e-07,1.5042340188773865e-07,9.190309807212767e-08
180.0,0.00967672374099493,2.2833365050555387e-05,1.424437017299539e-06,7.673852323579216e-07,1.5364097779759e-07,8.754709547863369e-08
181.0,0.009574352763593197,-1.5016551427820377e-05,-7.16240701841862e-08,4.836090286050684e-07,1.609881947177567e-07,1.0118515797177998e-07
182.0,0.010169219225645065,1.6848877373680048e-05,4.3482192672062945e-07,4.2411962806912243e-07,1.659061209491429e-07,1.00456797100244e-07
183.0,0.010494105517864227,3.884923223694449e-07,4.945359110251546e-07,3.8615284802732693e-07,1.7035687707829758e-07,1.050198642807313e-07
184.0,0.009420891292393208,-3.002895116374188e-06,3.801236688062997e-07,3.283356166451229e-07,1.7399478108181106e-07,1.0967883333868393e-07
185.0,0.01058888342231512,-2.1268461045530685e-06,-6.780647275870893e-07,2.854445609852746e-07,1.7747148864986023e-07,1.1370391855373656e-07
186.0,0.009362483397126198,2.669949812896698e-05,1.6473779844447805e-06,7.764974524872711e-07,1.8014395861288483e-07,1.0735554879952553e-07
187.0,0.010460512712597847,-2.1972046532126485e-05,-6.103277031357122e-07,3.207877711518183e-07,1.8826652008592777e-07,1.2458796714826398e-07
188.0,0.010347550734877586,2.5347484192947357e-05,1.8384970582621128e-06,8.35632216685742e-07,1.9158588782304952e-07,1.1827257027516588e-07
189.0,0.009526761248707771,-2.600328194663404e-05,5.381686631358627e-07,3.561338224450786e-07,1.9954675644314302e-07,1.3578749280568062e-07
190.0,0.010345755144953728,-7.326181485633563e-06,-5.403914840506707e-07,2.102262406134706e-07,2.0323122976899624e-07,1.4135525402117136e-07
191.0,0.009690315462648869,1.8186019817499724e-05,1.1177498794627897e-06,5.586037953154109e-07,2.052683883590675e-07,1.3611869006739136e-07
