tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
101.0,0.01024704299993573,0.061440374101789284,0.0027528253243246613,0.001324039621870643,0.00025622145314081805,0.0005322342502572784
102.0,0.011143856999979107,0.061584067554542196,0.0026086417415575047,0.0011256820551259837,0.0002709763613492509,0.0005629113420174735
103.0,0.008301824999989549,0.062117427610080295,0.002510683310780464,0.0010091416028191098,0.00028032157677653543,0.0005845678292435519
104.0,0.011170171000003393,0.0620790490783215,0.0023781820856771355,0.0008395812725557584,0.0002915938610432424,0.0006126125911518243
105.0,0.010571072999937314,0.06246314004277355,0.0022614844654338493,0.0007057195320831606,0.0003004691359648096,0.0006377525275866606
106.0,0.008389452000074016,0.06250307396228547,0.0021695073682007483,0.0005921785974085762,0.000306389736104736,0.0006567251429583309
107.0,0.01078547600013735,0.06284640312055337,0.0020589436271963046,0.00046209620647726606,0.00031277666415488117,0.0006801243126101812
108.0,0.009973640999987765,0.06319414271203108,0.0019639754417502997,0.0003627228219808029,0.00031738544582574166,0.0007006594771870497
109.0,0.00971977499989407,0.0632637444048445,0.0018726874748142878,0.00025960214349275815,0.0003209110300427217,0.0007197488765861801
110.0,0.010331040999972174,0.06362069312660666,0.0017831910175827377,0.00016660550412079817,0.00032359299043082605,0.0007390956876686209
111.0,0.010404428000128974,0.06386400433998733,0.001698176480378541,8.21907072532893e-05,0.0003253264254028761,0.0007576487702215372
112.0,0.010773921000009068,0.06408797166578005,0.0016149471152230813,1.5008078493891431e-06,0.0003262119415897579,0.0007759447894652091
113.0,0.008207232999893677,0.06435445420390407,0.0015559096867083122,-5.223279485425029e-05,0.0003262242590694659,0.000789199036722351
114.0,0.010386594999999943,0.06453083958340246,0.0014847254161529757,-0.0001183549511847224,0.00032568173818359674,0.0008053596404947671
115.0,0.010768439000003127,0.06485848245135165,0.0014181337801990432,-0.00016512055975545061,0.0003244072401114157,0.0008213478155703647
116.0,0.009125269999913144,0.06486861644004162,0.0013616345831780092,-0.00021338862233131917,0.0003229004704211104,0.0008342886692106784
117.0,0.009808533000068564,0.06514068826792316,0.00130615721031963,-0.0002560049097831318,0.0003208074410771345,0.0008476443069538145
118.0,0.010735662000115553,0.06537933069572013,0.001250538840769195,-0.0002897370248590813,0.0003180590588953327,0.0008616667692828199
119.0,0.00917688000004091,0.06547140402515686,0.0012045240774342068,-0.0003188952864183198,0.0003154001769866321,0.0008731428141599491
120.0,0.010443075000011959,0.06562226589338664,0.0011551043923373255,-0.0003501175075736822,0.00031206992959341526,0.0008857217494399148
121.0,0.009580075000030774,0.06585238661538476,0.0011141601953834305,-0.00036665981429617945,0.00030871577761203557,0.0008967877361513713
122.0,0.010437556999931985,0.0658803641483237,0.001069844656345144,-0.000390397224930051,0.0003048887449007347,0.0009084168466977412
123.0,0.009304968999913399,0.06608297930952156,0.0010340434467535093,-0.00040246088583242715,0.00030125611082510833,0.0009183717180597558
124.0,0.010899435999817797,0.06613682654720231,0.0009929934895171067,-0.0004199515953137018,0.0002968695141575478,0.0009296422084286767
125.0,0.011004211999988911,0.0663225439235312,0.0009555493313651188,-0.0004264196249176407,0.0002922482777729823,0.0009405693193019317
126.0,0.008033033000174328,0.06632768843006882,0.0009280898791482264,-0.0004360124928036146,0.0002888228348540969,0.0009482452786140822
127.0,0.010251857999946878,0.06645692774056518,0.0008954503419474093,-0.0004473015091429067,0.0002843528966916714,0.0009577599242662977
128.0,0.011381575000086741,0.0666768828690899,0.0008643036502963101,-0.0004385991222609825,0.00027926190101770944,0.0009679515594920255
129.0,0.00868092800010345,0.06648419708082247,0.0008368462086939566,-0.0004488263365772108,0.0002754544536164533,0.0009754545172504744
130.0,0.010581814000033773,0.06666723222571398,0.0008070310089399707,-0.00045627848205985667,0.0002707050568044767,0.0009843098681775074
131.0,0.009312043999898378,0.06687366513058536,0.0007847250229491776,-0.00044623672608071083,0.00026645617150332845,0.0009918249764420389
132.0,0.011111413000207904,0.06670916863244739,0.0007539670031987167,-0.0004541505490946273,0.000261497850943985,0.0010005443802636248
133.0,0.009293376999949032,0.0669117668706339,0.0007320014683800482,-0.00044835362575610657,0.00025727725867651476,0.0010075512798698723
134.0,0.009926735000135523,0.06685007313486757,0.0007069641440778678,-0.0004532037088875356,0.00025282657104728394,0.0010148176644661912
135.0,0.010558721000052174,0.0670276842258963,0.0006840454131199489,-0.00044574899957948964,0.0002480413195289516,0.0010222823016205502
136.0,0.008958774000120684,0.06697660434370915,0.0006634846181053492,-0.00044461515491049034,0.00024404795498093906,0.001028410509882511
137.0,0.01059920200009401,0.0670235640698064,0.0006398938498352354,-0.0004454822654324774,0.0002393353891417397,0.0010354429173737648
138.0,0.010119434999978694,0.06715581240803975,0.0006200426508367226,-0.00043498086010154095,0.00023482736031305249,0.0010419182815940586
139.0,0.010081619999937175,0.06703800572170689,0.0005975501118897665,-0.00043727976553873977,0.0002304420485742629,0.0010481693159835482
140.0,0.009429375000081563,0.06716791155780912,0.0005788708317811738,-0.0004332348521318283,0.0002263187736850504,0.0010538038400698974
141.0,0.01094554699989203,0.06718578332209411,0.0005573429497853344,-0.0004305545689547281,0.0002215767812490502,0.0010601398979660248
142.0,0.010460241999908249,0.06725354148616605,0.0005380939235504382,-0.0004226126103317777,0.00021707307626361757,0.001065969840097722
143.0,0.008183198000097036,0.0671941591329616,0.0005218473485050281,-0.0004234607136570027,0.00021361475359593478,0.0010703731692167844
144.0,0.010288430999935372,0.06729249482389187,0.0005032319036256791,-0.0004234771668843877,0.0002092580072622913,0.0010757421596543776
145.0,0.011099858000079621,0.06744277855022472,0.00048659005856084954,-0.00040526123729081733,0.00020455747084359858,0.0010813279623257323
146.0,0.008429173999957129,0.06718953846865643,0.0004693306387650647,-0.0004104609437156165,0.00020114145335903638,0.001085429514595991
147.0,0.01085973399995055,0.0673549113492701,0.000450472578150097,-0.0004127495773515546,0.00019668395669291612,0.0010905263204910064
148.0,0.010475852999888957,0.0675585528197136,0.00043673622878200356,-0.0003923219801089177,0.00019236005279481494,0.0010952454050001878
149.0,0.009034753999912937,0.06725215817449591,0.0004189079499473226,-0.0003996504610402336,0.00018881552021577213,0.001099191209390083
150.0,0.010633331000008184,0.0674648831825855,0.00040233994446180736,-0.0003980491991659027,0.00018456590457922544,0.0011036455962804077
151.0,0.009552039000027435,0.06757731506965302,0.00038965041776442224,-0.0003854525926973695,0.00018076372310486306,0.0011074887631211758
152.0,0.010338152000031187,0.06742364205417714,0.00037234616895021354,-0.000388760884202736,0.00017677885561275154,0.0011115170283669
153.0,0.01027091199989627,0.06759580211751205,0.0003586823248968291,-0.0003799492728938533,0.00017278592678210338,0.0011153413631016863
154.0,0.009153233000006367,0.06753800443887674,0.0003452472607385298,-0.00037812445667421654,0.00016930816255912294,0.0011186244659944508
155.0,0.011850565000031565,0.06759880751633647,0.00032904741282526525,-0.0003760921021579762,0.00016482717410720352,0.0011227158410989156
156.0,0.008014294000076916,0.06771868011421991,0.0003201224179774992,-0.0003629791333509907,0.00016181306142940254,0.001125352923805262
157.0,0.010333521999882578,0.06752386549039557,0.00030397924552248663,-0.00037404934977890777,0.00015806220856942176,0.001128660915854088
158.0,0.011349926999855597,0.06789391651500817,0.00029506877183733553,-0.00034589911018556536,0.0001538167757550877,0.0011321110581002393
159.0,0.008233677999896827,0.06745655118576988,0.0002809156407725832,-0.00035646474765446185,0.00015096875386136891,0.001134540559355373
160.0,0.010826844999883178,0.06772669144247907,0.00026798637254855023,-0.0003600481787091821,0.0001471093652905916,0.0011375819894560606
161.0,0.010337578999951802,0.06799387363519001,0.00026157805445783114,-0.00033093773071804196,0.00014338733879939666,0.0011403523197531919
162.0,0.009355616999982885,0.06751832559939945,0.00024625354487482363,-0.00034368963925005875,0.0001402912121399552,0.0011427995438463
163.0,0.010345892000032109,0.06783977602659103,0.00023595562251792484,-0.00034014342044357844,0.0001367354362507441,0.0011453472564261998
164.0,0.009815384999910748,0.06793144226049071,0.0002280073442951075,-0.00032772908787336545,0.00013339679762390386,0.001147663251704107
165.0,0.01082090199997765,0.06781230025064464,0.0002163505725220437,-0.0003269814228145108,0.0001298504732814841,0.0011501304968319994
166.0,0.009105086000090523,0.06793006274477144,0.0002086850510536409,-0.0003185464324130238,0.00012687327930632604,0.0011521003874009814
167.0,0.009655462999944575,0.06787376059263597,0.0001991550116251371,-0.0003206808001554106,0.00012379756601439774,0.0011541153381900713
168.0,0.011271984000131852,0.06807036753921299,0.0001925849140102815,-0.00030420160910690715,0.00012018285716589647,0.001156360210294656
169.0,0.009185288000026048,0.06791204030456535,0.00018416334719919652,-0.00029923411291639883,0.00011738867777617818,0.0011581291581943007
170.0,0.010210505999793895,0.0678955780913669,0.00017409744762268708,-0.0003050126169679792,0.00011433334607090229,0.0011600095591558202
171.0,0.011098654999841528,0.06816820700811195,0.00016948203443224394,-0.0002842552601255102,0.00011094811626457587,0.0011619418066633374
172.0,0.008523301999957766,0.0679116336919614,0.00016128505187785184,-0.00028498197674757016,0.0001085253228374496,0.0011633863532263707
173.0,0.009673184000121182,0.06800565438950762,0.00015352470097685224,-0.00029281199866222944,0.0001057686397396521,0.0011649464932096541
174.0,0.011020452000138903,0.06836750346482108,0.00015305508863016742,-0.0002596983135452226,0.00010254171916333027,0.0011666384048076052
175.0,0.0103655410000556,0.06787063234046896,0.00014189807612983066,-0.00026395468486774677,9.984980564663197e-05,0.0011682249036040683
176.0,0.008602873999961957,0.06799968116697606,0.0001347326212818971,-0.0002658985451335784,9.757903675101508e-05,0.0011694456348738502
177.0,0.01062416500008112,0.06813548785879218,0.0001285856744507516,-0.000269998228710828,9.475408673423443e-05,0.0011708770564732426
178.0,0.010399540000207708,0.06844843548660279,0.00012950001798426512,-0.00023322715663363778,9.194622935477094e-05,0.001172214288338147
179.0,0.009170992000008482,0.06782573793475864,0.00011828749301343242,-0.0002469644863323315,8.980730496709912e-05,0.0011734019319670815
