tick,tick_dt,input_force,output_position,output_ang_vel,output_speed,output_angle
175.0,0.015580806999992092,-0.00014285776800641414,-8.678183709721926e-07,-9.240345500364996e-06,-6.428705759387483e-06,4.804457469019747e-07
176.0,0.009410594000001993,-0.00014285776800641414,-9.283163108192627e-07,-4.918826972769579e-06,-8.656439143809656e-06,3.9348860697829445e-07
177.0,0.014123512999987042,-0.00027111963065185854,-1.050575641600455e-06,-1.3356910862405945e-05,-8.695497413896953e-06,3.240174902836964e-07
178.0,0.00618435900000236,-0.00027111963065185854,-1.1043517192915859e-06,-1.0547960187809785e-05,-8.023059662839484e-06,2.414135583795469e-07
179.0,0.009997112000007746,-7.715501367967667e-05,-1.1845591453237366e-06,-8.061139608079217e-06,-4.568853417521709e-06,1.3596441901038976e-07
180.0,0.009243298000001232,-7.715501367967667e-05,-1.2267904189802139e-06,7.420776681681351e-07,-6.073152551264998e-06,6.145290339330042e-08
181.0,0.016592045999999527,-0.00031928628210911445,-1.3275564454758172e-06,2.0055957059647577e-06,-1.808353543903348e-06,7.37654901991185e-08
182.0,0.00841533700000241,-0.00031928628210911445,-1.3427743499629127e-06,-1.2122828274543167e-05,-9.086734009469522e-06,9.064325395056968e-08
183.0,0.014181624000002557,-6.589073721665272e-05,-1.4716389950732452e-06,-1.2394712949949003e-05,-7.251821508193199e-06,-8.12781384556013e-08
184.0,0.006206211999995048,-6.589073721665272e-05,-1.516645336739216e-06,-4.419833036303001e-06,-6.587039890756711e-06,-1.582023547020688e-07
185.0,0.010017890000000307,-0.0001789595191380834,-1.5826335777904306e-06,-1.1594633190127085e-05,-7.573377477463243e-06,-2.0247975587811965e-07
186.0,0.004871138999988034,-0.0001789595191380834,-1.6195245521825329e-06,-7.16072724708219e-06,-6.543926699861833e-06,-2.5895882580110334e-07
187.0,0.010294648000012785,-9.194980971296467e-05,-1.6868919740954958e-06,-5.525721715941714e-06,-4.397063769363434e-06,-3.326759922339151e-07
188.0,0.010334166999996341,-9.194980971296467e-05,-1.7323319653977308e-06,1.5144268247751183e-06,-6.3841139487803424e-06,-3.897797232419631e-07
189.0,0.008625818000012941,-0.00032846799818066945,-1.787400170411254e-06,4.597260920990366e-06,-4.117755581459326e-07,-3.7671655307711546e-07
190.0,0.005848601000025155,-0.00032846799818066945,-1.7898084813524122e-06,-1.6915350406953089e-06,-3.3632469384613713e-06,-3.4982900825723465e-07
191.0,0.009607520000002978,-0.00013413649574245238,-1.8221209435786287e-06,-4.181677258147024e-06,-2.9748130111025077e-06,-3.6608046499142067e-07
192.0,0.005047305999994478,-0.00013413649574245238,-1.837135735138428e-06,6.795633027790847e-07,-4.258179994454847e-06,-3.871866697065066e-07
