tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
183.0,0.009647926000070584,0.00026761772026260205,2.4042723488329848e-05,5.886176192484525e-09,4.8821567693311795e-06,1.2903186981286388e-08
184.0,0.005003721999969457,0.00026761772026260205,1.0441717888335123e-05,1.2618928065022302e-07,6.7224816914697604e-06,3.733214221528862e-08
185.0,0.010112129999924946,-7.170279588249219e-05,2.3253881349033676e-06,2.3177728935960957e-07,4.3508217413131226e-06,1.0531075100154619e-07
186.0,0.010293445000002066,-7.170279588249219e-05,1.1282855852054718e-05,2.5571354422989474e-07,2.7996649857642283e-06,1.5009569530056604e-07
187.0,0.00893518599991694,-0.00024711975237912934,1.6577306817203474e-06,3.56527959878255e-07,-1.56223000245109e-06,1.7511122268582423e-07
188.0,0.006281019000084598,-0.00024711975237912934,-1.4114906305290158e-06,3.669401977871637e-07,-1.3858871578080142e-06,1.6529882635792672e-07
189.0,0.010251259000028767,-4.333325285297024e-05,-2.8558173205835574e-06,3.5247064175749683e-07,-1.9745535851978607e-07,1.5109173815842302e-07
190.0,0.009096945000010237,-4.333325285297024e-05,4.033112663465735e-06,3.264914286620716e-07,-1.033956261140852e-06,1.4929549762201122e-07
191.0,0.010132481000027838,-0.0001844468076613731,-8.199612793580631e-07,3.6735686609560984e-07,-1.1931408878536002e-06,1.3881895545114173e-07
192.0,0.010168518000000404,-0.0001844468076613731,-3.506438159342585e-06,3.59019075067154e-07,-2.6172139136011847e-06,1.2668648085646592e-07
193.0,0.009712945000046602,-2.8539649629337024e-05,8.807980005048548e-07,3.2496123407939483e-07,-4.0648198555111936e-07,1.012656260603009e-07
